id,Treatment,Week,Sample,Cat_ID
G41PR16,Placebo,-1,4541,Cat7
D46PR16,Placebo,-1,4546,Cat8
J45PR16,Placebo,-1,4545,Cat9
C34PR16,Placebo,-1,4534,Cat10
P43PR16,Placebo,-1,4543,Cat11
M48PR16,Placebo,-1,4548,Cat12
S42PR16,Control,-1,4542,Cat1
F47PR16,Control,-1,4547,Cat2
L50PR16,Control,-1,4550,Cat3
D35PR16,Control,-1,4535,Cat4
P37PR16,Control,-1,4537,Cat5
R40PR16,Control,-1,4540,Cat6
M39PR16,cART,-1,4539,Cat13
M52PR16,cART,-1,4552,Cat14
M44PR16,cART,-1,4544,Cat15
W36PR16,cART,-1,4536,Cat16
K53PR16,cART,-1,4553,Cat17
M51PR16,cART,-1,4551,Cat18
G410516,Placebo,5,4541,Cat7
D460516,Placebo,5,4546,Cat8
J450516,Placebo,5,4545,Cat9
C340516,Placebo,5,4534,Cat10
P430516,Placebo,5,4543,Cat11
M480516,Placebo,5,4548,Cat12
S420516,Control,5,4542,Cat1
F470516,Control,5,4547,Cat2
L500516,Control,5,4550,Cat3
D350516,Control,5,4535,Cat4
P370516,Control,5,4537,Cat5
R400516,Control,5,4540,Cat6
M390516,cART,5,4539,Cat13
M520516,cART,5,4552,Cat14
M440516,cART,5,4544,Cat15
W360516,cART,5,4536,Cat16
K530516,cART,5,4553,Cat17
M510516,cART,5,4551,Cat18
G411116,Placebo,11,4541,Cat7
D461116,Placebo,11,4546,Cat8
J451116,Placebo,11,4545,Cat9
C341116,Placebo,11,4534,Cat10
P431116,Placebo,11,4543,Cat11
M481116,Placebo,11,4548,Cat12
S421116,Control,11,4542,Cat1
F471116,Control,11,4547,Cat2
L501116,Control,11,4550,Cat3
D351116,Control,11,4535,Cat4
P371116,Control,11,4537,Cat5
R401116,Control,11,4540,Cat6
M391116,cART,11,4539,Cat13
M521116,cART,11,4552,Cat14
M441116,cART,11,4544,Cat15
W361116,cART,11,4536,Cat16
K531116,cART,11,4553,Cat17
M511116,cART,11,4551,Cat18
G412416,Placebo,24,4541,Cat7
D462416,Placebo,24,4546,Cat8
J452416,Placebo,24,4545,Cat9
C342416,Placebo,24,4534,Cat10
P432416,Placebo,24,4543,Cat11
M482416,Placebo,24,4548,Cat12
S422416,Control,24,4542,Cat1
F472416,Control,24,4547,Cat2
L502416,Control,24,4550,Cat3
D352416,Control,24,4535,Cat4
P372416,Control,24,4537,Cat5
R402416,Control,24,4540,Cat6
M392416,cART,24,4539,Cat13
M522416,cART,24,4552,Cat14
M442416,cART,24,4544,Cat15
W362416,cART,24,4536,Cat16
K532416,cART,24,4553,Cat17
M512416,cART,24,4551,Cat18
PCon116,positive_control,na,pcon1,Positive_control1
PCon216,positive_control,na,pcon2,Positive_control2
PCon316,positive_control,na,pcon3,Positive_control3
NCon116,negative_control,na,ncon1,Negative_control1
NCon216,negative_control,na,ncon2,Negative_control2
NCon316,negative_control,na,ncon3,Negative_control3
